"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"201312";"08010405";"08";"01";"04";"05";"1";2708,00;1417,00;1291,00;30,00;27,00;28,00;49,00;24,00;18,00;19,00;28,00;34,00;36,00;12,00;86,00;104,00;199,00;185,00;288,00;359,00;304,00;232,00;181,00;144,00;126,00;39,00;20,00;18,00;36,00;33,00;30,00;6,00;13,00;0,00;0,00;30,00;128,00;147,00;86,00;303,00;1693,00;185,00;117,00;19,00
"201312";"08010406";"08";"01";"04";"06";"1";2304,00;1244,00;1060,00;34,00;35,00;30,00;63,00;29,00;24,00;15,00;27,00;37,00;47,00;27,00;61,00;92,00;146,00;113,00;190,00;310,00;260,00;214,00;142,00;136,00;80,00;35,00;29,00;19,00;28,00;54,00;21,00;6,00;0,00;0,00;0,00;34,00;157,00;177,00;61,00;238,00;1365,00;144,00;122,00;6,00
"201312";"08010407";"08";"01";"04";"07";"1";216,00;124,00;92,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;6,00;27,00;12,00;22,00;35,00;17,00;21,00;18,00;13,00;12,00;3,00;0,00;0,00;3,00;18,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;33,00;138,00;15,00;24,00;0,00
"201312";"08010508";"08";"01";"05";"08";"1";1713,00;871,00;842,00;6,00;15,00;14,00;21,00;15,00;3,00;12,00;19,00;19,00;7,00;15,00;49,00;68,00;117,00;93,00;127,00;161,00;188,00;198,00;175,00;127,00;88,00;43,00;26,00;23,00;19,00;40,00;12,00;10,00;3,00;0,00;0,00;6,00;65,00;75,00;49,00;185,00;1069,00;157,00;94,00;13,00
"201312";"08010509";"08";"01";"05";"09";"1";2776,00;1424,00;1352,00;26,00;27,00;34,00;62,00;18,00;38,00;26,00;47,00;35,00;44,00;34,00;123,00;75,00;186,00;94,00;163,00;305,00;306,00;291,00;267,00;184,00;93,00;61,00;32,00;30,00;39,00;65,00;55,00;10,00;6,00;0,00;0,00;26,00;141,00;224,00;123,00;261,00;1610,00;186,00;189,00;16,00
"201312";"08010510";"08";"01";"05";"10";"1";164,00;107,00;57,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;12,00;16,00;9,00;30,00;6,00;27,00;16,00;6,00;12,00;6,00;0,00;6,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;28,00;106,00;12,00;9,00;0,00
"201312";"08020619";"08";"02";"06";"19";"2";2401,00;1290,00;1111,00;35,00;13,00;25,00;34,00;15,00;9,00;15,00;29,00;20,00;16,00;27,00;64,00;88,00;201,00;106,00;191,00;297,00;261,00;221,00;226,00;137,00;109,00;52,00;48,00;31,00;41,00;39,00;29,00;22,00;0,00;0,00;0,00;35,00;87,00;116,00;64,00;289,00;1439,00;209,00;140,00;22,00
"201312";"08020620";"08";"02";"06";"20";"2";1707,00;845,00;862,00;10,00;17,00;15,00;19,00;16,00;6,00;6,00;17,00;16,00;28,00;25,00;56,00;45,00;108,00;72,00;112,00;254,00;190,00;192,00;163,00;112,00;70,00;19,00;31,00;12,00;25,00;31,00;22,00;11,00;3,00;4,00;0,00;10,00;67,00;98,00;56,00;153,00;1095,00;120,00;90,00;18,00
"201312";"08020621";"08";"02";"06";"21";"2";182,00;95,00;87,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;4,00;0,00;8,00;3,00;6,00;3,00;3,00;17,00;15,00;18,00;21,00;12,00;24,00;3,00;6,00;4,00;8,00;9,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;10,00;8,00;9,00;89,00;33,00;24,00;6,00
"201312";"08020622";"08";"02";"06";"22";"2";1436,00;686,00;750,00;3,00;3,00;3,00;22,00;3,00;6,00;6,00;10,00;3,00;9,00;12,00;27,00;47,00;87,00;67,00;78,00;123,00;159,00;144,00;112,00;113,00;102,00;40,00;34,00;47,00;52,00;59,00;34,00;15,00;7,00;0,00;9,00;3,00;31,00;46,00;27,00;134,00;796,00;176,00;192,00;31,00
