ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200712;05010311;05;01;03;11;2;1059;545;514;3;3;6;12;6;6;9;33;33;24;21;55;44;52;24;53;136;109;101;84;72;41;29;23;12;26;24;9;6;3;0;0;3;27;126;55;96;579;93;71;9
200712;05010312;05;01;03;12;2;1433;790;643;0;6;3;9;0;3;9;19;32;27;21;50;68;71;65;67;123;149;145;122;95;100;66;22;21;44;69;9;9;9;0;0;0;18;111;50;139;766;188;143;18
200712;05010313;05;01;03;13;2;929;468;461;3;0;0;3;7;6;0;12;19;30;6;49;36;44;27;61;92;112;97;60;64;79;49;12;9;25;18;9;0;0;0;0;3;10;73;49;80;513;140;61;0
200712;05010314;05;01;03;14;2;1501;776;725;7;7;6;12;0;9;3;25;18;30;9;34;53;78;51;113;140;160;170;120;93;99;60;45;51;36;41;22;9;0;0;0;7;25;94;34;131;847;204;150;9
200712;05010339;05;01;03;39;2;57;30;27;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;9;3;0;3;6;18;3;0;3;3;3;0;0;0;0;0;0;0;3;0;3;21;21;9;0
200712;05020415;05;02;04;15;2;151;88;63;0;0;0;0;0;0;0;3;0;3;0;0;0;13;3;6;20;23;25;21;22;3;6;0;0;3;0;0;0;0;0;0;0;0;6;0;13;120;9;3;0
200712;05020416;05;02;04;16;2;22;6;16;0;0;0;0;0;0;0;0;0;0;0;4;0;3;3;3;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;15;0;0;0
200712;05020417;05;02;04;17;2;371;187;184;0;0;3;0;0;0;0;3;5;0;6;9;13;0;6;17;52;33;31;45;43;21;24;12;12;9;13;4;0;4;3;3;0;3;14;9;13;227;57;38;10
200712;05020418;05;02;04;18;2;174;88;86;0;0;0;0;0;0;0;0;3;0;0;0;9;9;9;3;30;15;13;15;15;13;15;3;3;0;9;3;4;3;0;0;0;0;3;0;18;100;31;15;7
200712;05020419;05;02;04;19;2;447;220;227;0;0;3;6;0;3;0;3;9;3;0;22;3;30;15;18;48;53;40;45;38;27;6;7;19;12;12;19;3;0;3;0;0;9;18;22;33;257;40;62;6
