ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
201012;09051702;09;05;17;02;2;615;278;337;6;13;22;28;12;12;9;21;24;16;3;23;16;17;9;18;53;63;48;46;27;18;15;6;12;22;21;18;9;5;3;0;6;75;85;23;33;264;39;73;17
201012;09051801;09;05;18;01;2;454;214;240;0;9;9;12;9;6;12;19;3;19;10;15;9;9;12;16;30;35;40;27;42;24;9;9;6;19;19;19;3;3;0;0;0;39;69;15;18;202;42;63;6
201012;09051901;09;05;19;01;2;492;222;270;3;15;0;18;3;3;9;13;19;16;0;25;16;21;12;25;58;35;42;32;33;20;6;3;12;9;13;21;7;0;3;0;3;36;60;25;37;237;29;55;10
201012;09052001;09;05;20;01;2;494;230;264;9;6;3;19;10;9;3;15;13;29;3;12;9;21;12;18;34;39;43;30;21;12;12;9;12;16;22;26;24;3;0;0;9;38;72;12;30;197;33;76;27
201012;10010101;10;01;01;01;2;1144;528;616;9;33;15;56;40;16;24;41;32;32;12;38;34;51;44;60;99;93;94;75;60;70;38;3;12;15;29;9;7;3;0;0;9;144;157;38;85;525;111;65;10
201012;10010102;10;01;01;02;2;3252;1621;1631;59;82;72;135;53;74;62;94;83;95;46;134;116;156;126;185;249;240;197;209;227;200;71;41;15;33;80;53;40;22;3;0;59;342;454;134;272;1433;312;181;65
201012;10010203;10;01;02;03;2;332;204;128;21;7;9;11;3;3;3;7;3;6;4;9;42;51;9;35;37;18;15;18;9;3;0;0;3;0;0;6;0;0;0;0;21;30;26;9;93;141;3;9;0
201012;10010204;10;01;02;04;2;1665;805;860;12;27;46;50;43;18;37;50;40;61;16;70;53;101;51;96;130;131;106;88;102;120;40;21;9;27;59;20;22;16;3;0;12;166;222;70;154;704;181;115;41
201012;10010205;10;01;02;05;2;665;324;341;6;9;7;19;12;10;6;18;26;18;18;12;27;55;28;18;61;51;63;36;42;37;12;9;16;10;9;21;3;6;0;0;6;47;96;12;82;299;58;56;9
201012;10010206;10;01;02;06;2;1930;979;951;22;37;31;69;24;31;20;64;49;49;16;67;80;122;57;106;163;132;124;121;160;146;58;15;23;24;49;27;31;13;0;0;22;161;229;67;202;863;219;123;44
201012;10010207;10;01;02;07;2;1697;810;887;31;38;37;93;21;27;35;49;53;36;18;76;49;88;51;101;183;119;113;107;108;86;50;9;9;13;35;27;25;7;3;0;31;189;218;76;137;782;145;84;35
201012;10010308;10;01;03;08;2;191;110;81;0;6;6;3;0;0;0;4;6;5;6;3;6;12;12;3;18;15;22;18;18;15;0;3;3;0;4;3;0;0;0;0;0;15;21;3;18;106;18;10;0
201012;10010309;10;01;03;09;2;2268;1050;1218;25;43;38;99;46;31;50;63;62;53;44;100;83;126;79;117;192;164;142;137;148;110;57;22;25;34;74;43;37;15;9;0;25;226;303;100;209;979;189;176;61
201012;10010310;10;01;03;10;2;2170;1036;1134;52;36;45;79;25;39;33;85;51;51;18;63;106;165;58;112;179;142;102;176;165;134;43;19;20;50;65;28;13;13;0;3;52;185;277;63;271;934;196;163;29
201012;10010311;10;01;03;11;2;378;171;207;0;6;12;21;6;6;3;21;16;9;16;12;18;21;12;12;33;30;31;21;12;15;6;3;0;3;9;21;3;0;0;0;0;45;71;12;39;151;24;33;3
201012;10020412;10;02;04;12;2;955;455;500;23;19;28;43;30;19;14;22;18;24;6;37;54;56;37;68;51;84;63;69;50;46;18;16;0;22;22;7;3;3;3;0;23;120;103;37;110;422;80;51;9
201012;10020413;10;02;04;13;2;1080;536;544;12;25;9;46;7;18;18;30;27;25;3;32;27;68;42;79;102;74;70;76;60;72;22;9;19;24;40;19;15;7;3;0;12;87;121;32;95;503;103;102;25
201012;10020414;10;02;04;14;2;674;331;343;12;13;12;23;13;15;15;35;29;18;9;22;15;52;15;24;63;62;38;66;50;18;19;0;0;6;9;9;9;3;0;0;12;61;121;22;67;318;37;24;12
201012;10020415;10;02;04;15;2;467;235;232;9;9;12;18;3;9;15;6;3;9;6;12;18;39;12;43;57;42;30;24;21;15;6;7;3;9;9;12;9;0;0;0;9;42;48;12;57;229;28;33;9
201012;10020416;10;02;04;16;2;614;295;319;16;9;9;21;9;12;9;19;26;21;6;17;15;43;24;45;47;45;44;57;39;17;32;6;7;3;13;3;0;0;0;0;16;48;93;17;58;301;55;26;0
201012;10020517;10;02;05;17;2;499;245;254;3;3;11;28;3;16;0;9;12;9;7;9;24;27;19;25;33;37;34;46;33;28;12;3;7;6;13;15;15;6;6;0;3;45;53;9;51;227;43;41;27
201012;10020518;10;02;05;18;2;315;167;148;4;6;3;0;11;3;12;7;19;7;6;15;9;16;9;18;21;29;28;24;19;21;6;0;0;0;15;4;3;0;0;0;4;20;54;15;25;148;27;19;3
201012;10020519;10;02;05;19;2;370;177;193;6;3;9;21;6;0;9;15;15;7;0;16;22;30;13;18;36;15;15;33;25;19;0;3;3;3;16;6;6;0;0;0;6;39;46;16;52;155;22;28;6
201012;10020620;10;02;06;20;2;331;158;173;6;9;0;11;6;3;0;9;6;6;4;4;6;24;10;27;21;30;24;15;25;31;6;3;0;3;24;9;9;0;0;0;6;26;28;4;30;152;40;36;9
201012;10020621;10;02;06;21;2;477;251;226;6;13;10;6;9;3;13;10;15;16;10;15;30;37;22;21;34;33;39;40;18;22;22;6;6;6;9;6;0;0;0;0;6;38;67;15;67;207;50;27;0
201012;10020622;10;02;06;22;2;760;382;378;15;18;12;30;15;13;12;12;31;12;3;24;34;52;9;24;55;64;35;44;57;37;34;11;6;6;30;22;21;16;6;0;15;75;83;24;86;288;82;64;43
201012;10020623;10;02;06;23;2;455;217;238;4;9;3;22;3;6;12;14;3;6;6;18;9;22;6;16;46;37;39;43;32;34;11;9;9;6;18;3;6;3;0;0;4;37;47;18;31;219;54;36;9
201012;10030724;10;03;07;24;2;941;493;448;3;0;3;15;6;9;9;18;9;21;3;23;67;295;85;60;55;26;50;42;54;12;0;9;12;12;28;6;6;3;0;0;3;24;69;23;362;372;21;58;9
201012;10030725;10;03;07;25;2;626;325;301;6;13;9;16;0;3;6;9;6;12;7;34;50;61;16;22;53;31;27;43;46;18;22;12;12;18;33;15;10;10;3;3;6;38;43;34;111;238;52;78;26
201012;10030726;10;03;07;26;2;144;66;78;3;0;0;6;9;0;0;0;3;3;0;9;0;9;0;3;6;16;13;24;9;16;0;3;0;3;6;0;3;0;0;0;3;15;6;9;9;71;19;9;3
201012;10030727;10;03;07;27;2;561;276;285;12;9;9;30;3;22;9;15;18;16;12;24;12;26;11;22;48;37;31;55;31;39;15;3;16;9;18;6;3;0;0;0;12;51;92;24;38;235;57;49;3
201012;10040828;10;04;08;28;2;325;163;162;3;3;0;3;9;3;3;19;4;12;0;22;9;21;11;7;22;18;37;24;27;21;0;6;9;10;12;0;7;3;0;0;3;15;41;22;30;146;27;31;10
201012;10040829;10;04;08;29;2;172;60;112;3;3;3;6;0;3;3;9;3;6;6;6;6;4;0;10;3;25;19;9;6;6;3;0;3;15;3;6;0;0;3;0;3;12;30;6;10;72;9;27;3
201012;10040830;10;04;08;30;2;321;153;168;3;4;9;15;3;9;3;6;16;3;6;0;9;15;3;6;18;21;27;28;27;21;12;0;7;10;15;12;6;7;0;0;3;31;43;0;24;130;33;44;13
201012;10040931;10;04;09;31;2;416;214;202;3;9;9;15;6;10;6;6;9;25;6;31;16;9;3;12;21;30;22;56;31;21;9;3;6;12;9;12;6;3;0;0;3;39;62;31;25;175;33;39;9
201012;10040932;10;04;09;32;2;170;87;83;0;6;3;6;6;0;0;3;3;12;0;4;0;3;4;13;23;15;13;9;3;15;7;0;10;3;3;6;0;0;0;0;0;21;18;4;3;80;22;22;0
201012;10040933;10;04;09;33;2;573;244;329;0;9;12;9;9;6;12;15;22;15;12;18;18;27;6;12;50;39;52;46;51;37;14;3;12;28;19;9;11;0;0;0;0;39;82;18;45;256;54;68;11
201012;11010101;11;01;01;01;2;32;10;22;0;0;0;3;0;7;0;3;0;0;0;0;3;0;0;0;0;3;0;3;3;4;3;0;0;0;0;0;0;0;0;0;0;3;10;0;3;9;7;0;0
201012;11010102;11;01;01;02;2;78;45;33;0;0;3;0;0;0;0;6;0;0;0;3;0;3;6;0;3;8;6;10;12;6;3;0;3;3;0;3;0;0;0;0;0;3;6;3;3;45;9;9;0
201012;11010103;11;01;01;03;2;48;30;18;0;0;6;0;0;0;0;3;0;0;0;6;0;0;0;0;3;3;9;0;9;0;6;0;0;0;0;3;0;0;0;0;0;6;3;6;0;24;6;3;0
201012;11010204;11;01;02;04;2;1528;751;777;19;29;22;59;32;41;19;53;39;35;18;65;55;71;67;101;124;128;114;101;108;71;44;25;12;27;27;12;6;0;4;0;19;142;205;65;126;743;140;78;10
201012;11010205;11;01;02;05;2;1220;599;621;22;28;22;56;6;29;40;46;36;47;12;53;41;67;18;66;98;77;94;89;90;101;16;10;9;12;15;14;3;3;0;0;22;112;210;53;108;532;127;50;6
201012;11010206;11;01;02;06;2;686;335;351;6;6;17;24;12;9;9;19;16;22;12;18;25;25;22;42;50;49;41;55;63;40;21;6;3;13;24;15;15;7;0;0;6;59;87;18;50;322;67;55;22
201012;11010207;11;01;02;07;2;601;277;324;8;12;3;25;6;3;6;12;26;9;13;27;28;35;18;44;33;44;18;45;56;36;13;13;0;18;9;15;23;0;3;0;8;46;69;27;63;258;62;42;26
201012;11010308;11;01;03;08;2;1868;900;968;27;41;37;91;45;29;22;56;53;43;19;77;75;95;71;106;174;138;139;149;130;92;27;9;32;24;30;25;9;3;0;0;27;214;222;77;170;907;128;111;12
201012;11010309;11;01;03;09;2;1533;767;766;21;35;12;61;31;25;37;68;65;38;28;91;72;107;43;78;118;111;104;99;121;62;15;10;14;6;27;18;9;7;0;0;21;139;261;91;179;674;87;65;16
201012;11010310;11;01;03;10;2;379;180;199;9;3;9;16;9;12;13;6;9;4;0;12;21;29;6;15;24;18;21;37;27;38;10;0;0;13;12;0;6;0;0;0;9;37;44;12;50;148;48;25;6
201012;11020411;11;02;04;11;2;696;369;327;9;19;27;15;12;9;12;18;24;9;9;24;38;87;24;46;47;54;53;47;34;22;9;6;9;9;12;6;3;3;0;0;9;73;81;24;125;305;37;36;6
201012;11020412;11;02;04;12;2;695;336;359;6;12;10;30;18;15;15;21;21;18;15;29;28;27;15;27;89;50;42;55;46;31;12;12;0;6;21;6;9;6;3;0;6;70;105;29;55;324;55;33;18
201012;11020513;11;02;05;13;2;155;78;77;6;0;3;9;0;0;0;7;3;0;0;3;6;6;9;3;6;9;23;6;12;7;0;3;6;9;9;3;7;0;0;0;6;12;10;3;12;68;10;27;7
201012;11020514;11;02;05;14;2;741;388;353;12;21;15;27;3;24;10;18;12;3;0;9;49;120;46;55;83;65;34;21;27;28;7;9;0;6;15;13;6;3;0;0;12;66;67;9;169;331;44;34;9
201012;11020515;11;02;05;15;2;2066;1001;1065;44;44;33;83;54;40;36;58;62;78;22;87;67;99;72;105;217;157;151;138;116;87;35;18;21;34;47;28;18;9;3;3;44;214;296;87;166;956;140;130;33
201012;11020516;11;02;05;16;2;276;130;146;0;6;7;18;6;3;6;9;15;3;9;6;10;9;6;3;18;24;18;27;22;12;21;3;0;3;6;3;3;0;0;0;0;37;45;6;19;118;36;12;3
201012;11030617;11;03;06;17;2;1378;645;733;39;49;31;55;16;21;31;46;33;43;10;49;48;124;67;82;117;108;86;80;97;34;6;13;15;23;31;9;12;0;3;0;39;151;184;49;172;637;53;78;15
201012;11030618;11;03;06;18;2;2512;1229;1283;48;37;51;57;52;40;46;66;66;36;37;89;121;233;119;194;200;222;173;142;115;77;55;15;28;34;61;46;35;17;0;0;48;197;291;89;354;1165;147;169;52
201012;11030619;11;03;06;19;2;1841;923;918;40;39;28;66;32;40;21;34;50;37;12;66;100;134;65;84;188;129;141;134;113;86;40;16;25;10;55;19;27;6;4;0;40;165;194;66;234;854;142;109;37
201012;11030720;11;03;07;20;2;1119;758;361;16;6;3;23;9;6;0;13;13;9;3;15;38;190;76;123;121;83;100;89;77;58;12;6;6;9;3;0;0;12;0;0;16;41;44;15;228;669;76;18;12
201012;11030721;11;03;07;21;2;2458;1326;1132;52;41;45;87;33;29;46;47;38;34;19;110;87;183;124;199;244;185;172;181;176;113;27;21;10;30;39;44;18;12;12;0;52;206;213;110;270;1281;161;123;42
201012;11030824;11;03;08;24;2;2514;1256;1258;33;38;46;81;30;34;31;65;58;69;45;103;123;241;128;195;269;184;168;159;132;61;50;21;28;31;52;18;15;6;0;0;33;195;302;103;364;1235;132;129;21
201012;11040925;11;04;09;25;2;400;222;178;0;6;6;12;9;6;3;14;7;9;3;13;12;42;18;29;65;37;34;33;6;17;3;3;0;3;10;0;0;0;0;0;0;33;42;13;54;222;23;13;0
201012;11040926;11;04;09;26;2;3058;1597;1461;52;57;49;113;51;50;49;70;61;46;42;84;115;229;137;267;343;242;241;235;198;135;52;21;18;18;34;21;12;13;3;0;52;270;318;84;344;1663;208;91;28
201012;11041022;11;04;10;22;2;779;431;348;9;16;13;15;13;9;6;12;16;13;13;40;37;69;31;40;46;51;58;79;47;59;22;6;3;6;12;15;16;7;0;0;9;57;69;40;106;352;87;36;23
201012;11041023;11;04;10;23;2;1225;620;605;27;37;28;34;19;9;21;38;26;39;22;68;61;70;60;46;125;85;74;105;71;60;10;6;9;25;31;13;6;0;0;0;27;118;155;68;131;566;76;78;6
201012;11041027;11;04;10;27;2;347;179;168;7;6;6;13;9;6;3;9;20;12;3;6;14;12;12;15;15;40;28;25;32;9;6;7;3;9;13;0;3;4;0;0;7;34;53;6;26;167;22;25;7
